,scheme_code,scheme_name,nav_start,date_start,nav_end,date_end,nav_growth_abs,nav_growth_pct
329,149229,INF174V01AW4,8.5795,2025-05-20,10.8738,2026-05-19,2.2943,26.74
330,119028,,97.966,2025-05-20,124.032,2026-05-18,26.066,26.61
331,152064,,12.99,2025-05-20,16.392,2026-05-19,3.402,26.19
332,149299,,10.57,2025-05-20,13.31,2026-05-18,2.74,25.92
333,116632,INF090I01EU5,72.0172,2025-05-20,90.5927,2026-05-18,18.5755,25.79
334,116633,,72.0172,2025-05-20,90.5927,2026-05-18,18.5755,25.79
335,108202,,88.229,2025-05-20,110.43,2026-05-18,22.201,25.16
336,140095,,372.9476,2025-05-20,466.3722,2026-05-19,93.4246,25.05
337,152065,,12.685,2025-05-20,15.809,2026-05-19,3.124,24.63
338,140256,,32.548,2025-05-20,40.335,2026-05-18,7.787,23.92
